ID,Species,GrowthPoint,1_length,2_length,3_length,4_length,5_length,6_length,7_length,8_length,1_width,2_width,3_width,4_width,5_width,6_width,7_width,8_width,Notes
1.1,BETNAN,1,10,10,,,,,,,10,,,,,,,,
1.1,,2,10,9,3,,,,,,11,,,,,,,,
1.1,,3,8,6,,,,,,,8,,,,,,,,
1.1,,4,10,10,,,,,,,10,,,,,,,,
1.1,,5,7,8,,,,,,,8,,,,,,,,
1.1,,notes,length and width of leaves from growth point ,,,,,,,,,,,,,,,,
1.1,SALPUL,1,18,29,31,30,25,,,,7,10,12,12,2,,,,
1.1,,2,12,28,19,32,28,18,,,5,8,6,12,11,,,,
1.1,,3,15,20,35,36,27,,,,3,7,12,3,R,,,,
1.1,,4,12,15,23,29,32,33,22,,4,6,7,11,13,14,2,,
1.1,,5,12,11,21,29,33,31,30,25,6,3,7,10,13,11,8,2,
1.1,,notes,length and width of leaves from growth point,,,,,,,,,,,,,,,,
1.1,LEDPAL,1,6,10,7,6,3,,,,,,,,,,,,
1.1,,2,,,,,,,,,,,,,,,,,
1.1,,3,,,,,,,,,,,,,,,,,
1.1,,4,,,,,,,,,,,,,,,,,
1.1,,5,,,,,,,,,,,,,,,,,
1.1,,notes,5 different needle lengths,,,,,,,,,,,,,,,,
1.1,VACVIT,1,7,7,6,5,3,4,,,,,,,,,,,
1.1,,2,,,,,,,,,,,,,,,,,
1.1,,3,,,,,,,,,,,,,,,,,
1.1,,4,,,,,,,,,,,,,,,,,
1.1,,5,,,,,,,,,,,,,,,,,
1.1,,notes,Last two measurements are the two small leaves at the top of the plant. This plant had a flower bud. ,,,,,,,,,,,,,,,,
1.1,CARBIG,1,,,,,,,,,,,,,,,,,
1.1,,2,,,,,,,,,,,,,,,,,
1.1,,3,,,,,,,,,,,,,,,,,
1.1,,4,,,,,,,,,,,,,,,,,
1.1,,5,,,,,,,,,,,,,,,,,
1.1,,notes,,,,,,,,,,,,,,,,,
1.1,ERIVAG,1,,,,,,,,,,,,,,,,,
1.1,,2,,,,,,,,,,,,,,,,,
1.1,,3,,,,,,,,,,,,,,,,,
1.1,,4,,,,,,,,,,,,,,,,,
1.1,,5,,,,,,,,,,,,,,,,,
1.1,,notes,,,,,,,,,,,,,,,,,
1.2,BETNAN,1,9,10,7,,,,,,,,,,,,,,
1.2,,2,5,8,7,,,,,,,,,,,,,,
1.2,,3,5,9,9,9,,,,,,,,,,,,,
1.2,,4,4,7,7,,,,,,,,,,,,,,
1.2,,5,8,10,9,5,,,,,,,,,,,,,
1.2,,notes,,,,,,,,,,,,,,,,,
1.2,SALPUL,1,9,11,17,20,13,,,,,,,,,,,,
1.2,,2,11,13,25,22,30,15,,,,,,,,,,,
1.2,,3,11,12,30,23,32,25,17,,,,,,,,,,
1.2,,4,10,8,16,18,,,,,,,,,,,,,
1.2,,5,13,12,22,30,25,26,,,,,,,,,,,
1.2,,notes,,,,,,,,,,,,,,,,,
1.2,LEDPAL,1,9,9,8,,,,,,,,,,,,,,
1.2,,2,3,12,12,,,,,,,,,,,,,,
1.2,,3,7,4,7,,,,,,,,,,,,,,
1.2,,4,,,,,,,,,,,,,,,,,
1.2,,new buds,9,6,4,,,,,,,,,,,,,,
1.2,,notes,"First leaf is the new bud, next are the expanded needles ",,,,,,,,,,,,,,,,
1.2,VACVIT,1,9,7,7,8,4,3,,,,,,,,,,,
1.2,,2,,,,,,,,,,,,,,,,,
1.2,,3,,,,,,,,,,,,,,,,,
1.2,,4,,,,,,,,,,,,,,,,,
1.2,,5,,,,,,,,,,,,,,,,,
1.2,,notes,Last two are the small top leaves ,,,,,,,,,,,,,,,,
1.2,CARBIG,1,,,,,,,,,,,,,,,,,
1.2,,2,,,,,,,,,,,,,,,,,
1.2,,3,,,,,,,,,,,,,,,,,
1.2,,4,,,,,,,,,,,,,,,,,
1.2,,5,,,,,,,,,,,,,,,,,
1.2,,notes,,,,,,,,,,,,,,,,,
1.2,ERIVAG,1,,,,,,,,,,,,,,,,,
1.2,,2,,,,,,,,,,,,,,,,,
1.2,,3,,,,,,,,,,,,,,,,,
1.2,,4,,,,,,,,,,,,,,,,,
1.2,,5,,,,,,,,,,,,,,,,,
1.2,,notes,,,,,,,,,,,,,,,,,
1.3,BETNAN,1,9,7,8,,,,,,,,,,,,,,
1.3,,2,6,6,,,,,,,,,,,,,,,
1.3,,3,5,8,10,,,,,,,,,,,,,,
1.3,,4,3,8,8,,,,,,,,,,,,,,
1.3,,5,,,,,,,,,,,,,,,,,
1.3,,notes,,,,,,,,,,,,,,,,,
1.3,SALPUL,1,18,13,22,22,18,,,,7,5,10,12,8,,,,
1.3,,2,20,22,33,39,27,,,,9,12,15,19,10,,,,
1.3,,3,10,12,18,20,,,,,5,6,10,7,,,,,
1.3,,4,15,19,32,37,,,,,6,7,14,17,,,,,
1.3,,5,12,10,13,32,32,25,,,2,7,2,17,15,15,,,
1.3,,notes,,,,,,,,,,,,,,,,,
1.3,LEDPAL,1,10,16,7,,,,,,,,,,,,,,
1.3,,2,10,15,12,,,,,,,,,,,,,,
1.3,,3,5,11,13,,,,,,,,,,,,,,
1.3,,4,,,,,,,,,,,,,,,,,
1.3,,new buds,9,8,5,,,,,,,,,,,,,,
1.3,,notes,,,,,,,,,,,,,,,,,
1.3,VACVIT,1,9,9,7,8,3,4,,,,,,,,,,,
1.3,,2,,,,,,,,,,,,,,,,,
1.3,,3,,,,,,,,,,,,,,,,,
1.3,,4,,,,,,,,,,,,,,,,,
1.3,,5,,,,,,,,,,,,,,,,,
1.3,,notes,,,,,,,,,,,,,,,,,
1.3,CARBIG,1,,,,,,,,,,,,,,,,,
1.3,,2,,,,,,,,,,,,,,,,,
1.3,,3,,,,,,,,,,,,,,,,,
1.3,,4,,,,,,,,,,,,,,,,,
1.3,,5,,,,,,,,,,,,,,,,,
1.3,,notes,,,,,,,,,,,,,,,,,
1.3,ERIVAG,1,,,,,,,,,,,,,,,,,
1.3,,2,,,,,,,,,,,,,,,,,
1.3,,3,,,,,,,,,,,,,,,,,
1.3,,4,,,,,,,,,,,,,,,,,
1.3,,5,,,,,,,,,,,,,,,,,
1.3,,notes,,,,,,,,,,,,,,,,,
1.4,BETNAN,1,12,8,13,,,,,,,,,,,,,,
1.4,,2,12,10,,,,,,,,,,,,,,,
1.4,,3,8,9,,,,,,,,,,,,,,,
1.4,,4,9,9,,,,,,,,,,,,,,,
1.4,,5,6,8,7,7,4,,,,,,,,,,,,
1.4,,notes,5 is a new stem elongating ,,,,,,,,,,,,,,,,
1.4,SALPUL,1,12,15,15,,,,,,5,6,6,,,,,,
1.4,,2,25,30,12,27,,,,,8,15,6,15,,,,,
1.4,,3,7,13,20,15,,,,,4,7,9,2,,,,,
1.4,,4,7,9,6,,,,,,5,5,2,,,,,,
1.4,,5,10,,,,,,,,2,,,,,,,,
1.4,,notes,,,,,,,,,,,,,,,,,
1.4,LEDPAL,1,3,9,12,,,,,,,,,,,,,,
1.4,,2,10,12,9,,,,,,,,,,,,,,
1.4,,3,3,7,11,,,,,,,,,,,,,,
1.4,,4,,,,,,,,,,,,,,,,,
1.4,,new buds,2,FB,FB,,,,,,,,,,,,,,
1.4,,notes,,,,,,,,,,,,,,,,,
1.4,VACVIT,1,8,7,9,7,5,,,,,,,,,,,,
1.4,,2,,,,,,,,,,,,,,,,,
1.4,,3,,,,,,,,,,,,,,,,,
1.4,,4,,,,,,,,,,,,,,,,,
1.4,,5,,,,,,,,,,,,,,,,,
1.4,,notes,flower buds ,,,,,,,,,,,,,,,,
1.4,CARBIG,1,,,,,,,,,,,,,,,,,
1.4,,2,,,,,,,,,,,,,,,,,
1.4,,3,,,,,,,,,,,,,,,,,
1.4,,4,,,,,,,,,,,,,,,,,
1.4,,5,,,,,,,,,,,,,,,,,
1.4,,notes,,,,,,,,,,,,,,,,,
1.4,ERIVAG,1,,,,,,,,,,,,,,,,,
1.4,,2,,,,,,,,,,,,,,,,,
1.4,,3,,,,,,,,,,,,,,,,,
1.4,,4,,,,,,,,,,,,,,,,,
1.4,,5,,,,,,,,,,,,,,,,,
1.4,,notes,,,,,,,,,,,,,,,,,
1.5,BETNAN,1,14,11,,,,,,,,,,,,,,,
1.5,,2,8,9,8,4,,,,,,,,,,,,,
1.5,,3,7,10,4,,,,,,,,,,,,,,
1.5,,4,3,,,,,,,,,,,,,,,,
1.5,,5,9,8,3,,,,,,,,,,,,,,
1.5,,notes,stem length (growth point 5) is 8 mm. 4 is on a separate branch. ,,,,,,,,,,,,,,,,
1.5,SALPUL,1,25,10,15,20,25,,,,10,3,5,10,2,,,,
1.5,,2,10,15,9,16,12,,,,3,5,2,7,2,,,,
1.5,,3,3,,,,,,,,2,,,,,,,,
1.5,,4,7,,,,,,,,2,,,,,,,,
1.5,,5,9,12,4,,,,,,3,5,2,,,,,,
1.5,,notes,,,,,,,,,,,,,,,,,
1.5,LEDPAL,1,3,10,12,,,,,,,,,,,,,,
1.5,,2,3,10,10,,,,,,,,,,,,,,
1.5,,3,3,9,9,,,,,,,,,,,,,,
1.5,,4,,,,,,,,,,,,,,,,,
1.5,,new buds,FB,FB,3,,,,,,,,,,,,,,
1.5,,notes,,,,,,,,,,,,,,,,,
1.5,VACVIT,1,,,,,,,,,,,,,,,,,
1.5,,2,,,,,,,,,,,,,,,,,
1.5,,3,,,,,,,,,,,,,,,,,
1.5,,4,,,,,,,,,,,,,,,,,
1.5,,5,,,,,,,,,,,,,,,,,
1.5,,notes,,,,,,,,,,,,,,,,,
1.5,CARBIG,1,,,,,,,,,,,,,,,,,
1.5,,2,,,,,,,,,,,,,,,,,
1.5,,3,,,,,,,,,,,,,,,,,
1.5,,4,,,,,,,,,,,,,,,,,
1.5,,5,,,,,,,,,,,,,,,,,
1.5,,notes,,,,,,,,,,,,,,,,,
1.5,ERIVAG,1,,,,,,,,,,,,,,,,,
1.5,,2,,,,,,,,,,,,,,,,,
1.5,,3,,,,,,,,,,,,,,,,,
1.5,,4,,,,,,,,,,,,,,,,,
1.5,,5,,,,,,,,,,,,,,,,,
1.5,,notes,,,,,,,,,,,,,,,,,
2.1,BETNAN,1,,,,,,,,,,,,,,,,,
2.1,,2,,,,,,,,,,,,,,,,,
2.1,,3,,,,,,,,,,,,,,,,,
2.1,,4,,,,,,,,,,,,,,,,,
2.1,,5,,,,,,,,,,,,,,,,,
2.1,,notes,,,,,,,,,,,,,,,,,
2.1,SALPUL,1,,,,,,,,,,,,,,,,,
2.1,,2,,,,,,,,,,,,,,,,,
2.1,,3,,,,,,,,,,,,,,,,,
2.1,,4,,,,,,,,,,,,,,,,,
2.1,,5,,,,,,,,,,,,,,,,,
2.1,,notes,,,,,,,,,,,,,,,,,
2.1,LEDPAL,1,,,,,,,,,,,,,,,,,
2.1,,2,,,,,,,,,,,,,,,,,
2.1,,3,,,,,,,,,,,,,,,,,
2.1,,4,,,,,,,,,,,,,,,,,
2.1,,5,,,,,,,,,,,,,,,,,
2.1,,notes,,,,,,,,,,,,,,,,,
2.1,VACVIT,1,,,,,,,,,,,,,,,,,
2.1,,2,,,,,,,,,,,,,,,,,
2.1,,3,,,,,,,,,,,,,,,,,
2.1,,4,,,,,,,,,,,,,,,,,
2.1,,5,,,,,,,,,,,,,,,,,
2.1,,notes,,,,,,,,,,,,,,,,,
2.1,CARBIG,1,,,,,,,,,,,,,,,,,
2.1,,2,,,,,,,,,,,,,,,,,
2.1,,3,,,,,,,,,,,,,,,,,
2.1,,4,,,,,,,,,,,,,,,,,
2.1,,5,,,,,,,,,,,,,,,,,
2.1,,notes,,,,,,,,,,,,,,,,,
2.1,ERIVAG,1,,,,,,,,,,,,,,,,,
2.1,,2,,,,,,,,,,,,,,,,,
2.1,,3,,,,,,,,,,,,,,,,,
2.1,,4,,,,,,,,,,,,,,,,,
2.1,,5,,,,,,,,,,,,,,,,,
2.1,,notes,,,,,,,,,,,,,,,,,
2.2,BETNAN,1,,,,,,,,,,,,,,,,,
2.2,,2,,,,,,,,,,,,,,,,,
2.2,,3,,,,,,,,,,,,,,,,,
2.2,,4,,,,,,,,,,,,,,,,,
2.2,,5,,,,,,,,,,,,,,,,,
2.2,,notes,,,,,,,,,,,,,,,,,
2.2,SALPUL,1,,,,,,,,,,,,,,,,,
2.2,,2,,,,,,,,,,,,,,,,,
2.2,,3,,,,,,,,,,,,,,,,,
2.2,,4,,,,,,,,,,,,,,,,,
2.2,,5,,,,,,,,,,,,,,,,,
2.2,,notes,,,,,,,,,,,,,,,,,
2.2,LEDPAL,1,,,,,,,,,,,,,,,,,
2.2,,2,,,,,,,,,,,,,,,,,
2.2,,3,,,,,,,,,,,,,,,,,
2.2,,4,,,,,,,,,,,,,,,,,
2.2,,5,,,,,,,,,,,,,,,,,
2.2,,notes,,,,,,,,,,,,,,,,,
2.2,VACVIT,1,,,,,,,,,,,,,,,,,
2.2,,2,,,,,,,,,,,,,,,,,
2.2,,3,,,,,,,,,,,,,,,,,
2.2,,4,,,,,,,,,,,,,,,,,
2.2,,5,,,,,,,,,,,,,,,,,
2.2,,notes,,,,,,,,,,,,,,,,,
2.2,CARBIG,1,,,,,,,,,,,,,,,,,
2.2,,2,,,,,,,,,,,,,,,,,
2.2,,3,,,,,,,,,,,,,,,,,
2.2,,4,,,,,,,,,,,,,,,,,
2.2,,5,,,,,,,,,,,,,,,,,
2.2,,notes,,,,,,,,,,,,,,,,,
2.2,ERIVAG,1,,,,,,,,,,,,,,,,,
2.2,,2,,,,,,,,,,,,,,,,,
2.2,,3,,,,,,,,,,,,,,,,,
2.2,,4,,,,,,,,,,,,,,,,,
2.2,,5,,,,,,,,,,,,,,,,,
2.2,,notes,,,,,,,,,,,,,,,,,
2.3,BETNAN,1,,,,,,,,,,,,,,,,,
2.3,,2,,,,,,,,,,,,,,,,,
2.3,,3,,,,,,,,,,,,,,,,,
2.3,,4,,,,,,,,,,,,,,,,,
2.3,,5,,,,,,,,,,,,,,,,,
2.3,,notes,,,,,,,,,,,,,,,,,
2.3,SALPUL,1,,,,,,,,,,,,,,,,,
2.3,,2,,,,,,,,,,,,,,,,,
2.3,,3,,,,,,,,,,,,,,,,,
2.3,,4,,,,,,,,,,,,,,,,,
2.3,,5,,,,,,,,,,,,,,,,,
2.3,,notes,,,,,,,,,,,,,,,,,
2.3,LEDPAL,1,,,,,,,,,,,,,,,,,
2.3,,2,,,,,,,,,,,,,,,,,
2.3,,3,,,,,,,,,,,,,,,,,
2.3,,4,,,,,,,,,,,,,,,,,
2.3,,5,,,,,,,,,,,,,,,,,
2.3,,notes,,,,,,,,,,,,,,,,,
2.3,VACVIT,1,,,,,,,,,,,,,,,,,
2.3,,2,,,,,,,,,,,,,,,,,
2.3,,3,,,,,,,,,,,,,,,,,
2.3,,4,,,,,,,,,,,,,,,,,
2.3,,5,,,,,,,,,,,,,,,,,
2.3,,notes,,,,,,,,,,,,,,,,,
2.3,CARBIG,1,,,,,,,,,,,,,,,,,
2.3,,2,,,,,,,,,,,,,,,,,
2.3,,3,,,,,,,,,,,,,,,,,
2.3,,4,,,,,,,,,,,,,,,,,
2.3,,5,,,,,,,,,,,,,,,,,
2.3,,notes,,,,,,,,,,,,,,,,,
2.3,ERIVAG,1,,,,,,,,,,,,,,,,,
2.3,,2,,,,,,,,,,,,,,,,,
2.3,,3,,,,,,,,,,,,,,,,,
2.3,,4,,,,,,,,,,,,,,,,,
2.3,,5,,,,,,,,,,,,,,,,,
2.3,,notes,,,,,,,,,,,,,,,,,
2.4,BETNAN,1,,,,,,,,,,,,,,,,,
2.4,,2,,,,,,,,,,,,,,,,,
2.4,,3,,,,,,,,,,,,,,,,,
2.4,,4,,,,,,,,,,,,,,,,,
2.4,,5,,,,,,,,,,,,,,,,,
2.4,,notes,,,,,,,,,,,,,,,,,
2.4,SALPUL,1,,,,,,,,,,,,,,,,,
2.4,,2,,,,,,,,,,,,,,,,,
2.4,,3,,,,,,,,,,,,,,,,,
2.4,,4,,,,,,,,,,,,,,,,,
2.4,,5,,,,,,,,,,,,,,,,,
2.4,,notes,,,,,,,,,,,,,,,,,
2.4,LEDPAL,1,,,,,,,,,,,,,,,,,
2.4,,2,,,,,,,,,,,,,,,,,
2.4,,3,,,,,,,,,,,,,,,,,
2.4,,4,,,,,,,,,,,,,,,,,
2.4,,5,,,,,,,,,,,,,,,,,
2.4,,notes,,,,,,,,,,,,,,,,,
2.4,VACVIT,1,,,,,,,,,,,,,,,,,
2.4,,2,,,,,,,,,,,,,,,,,
2.4,,3,,,,,,,,,,,,,,,,,
2.4,,4,,,,,,,,,,,,,,,,,
2.4,,5,,,,,,,,,,,,,,,,,
2.4,,notes,,,,,,,,,,,,,,,,,
2.4,CARBIG,1,,,,,,,,,,,,,,,,,
2.4,,2,,,,,,,,,,,,,,,,,
2.4,,3,,,,,,,,,,,,,,,,,
2.4,,4,,,,,,,,,,,,,,,,,
2.4,,5,,,,,,,,,,,,,,,,,
2.4,,notes,,,,,,,,,,,,,,,,,
2.4,ERIVAG,1,,,,,,,,,,,,,,,,,
2.4,,2,,,,,,,,,,,,,,,,,
2.4,,3,,,,,,,,,,,,,,,,,
2.4,,4,,,,,,,,,,,,,,,,,
2.4,,5,,,,,,,,,,,,,,,,,
2.4,,notes,,,,,,,,,,,,,,,,,
2.5,BETNAN,1,,,,,,,,,,,,,,,,,
2.5,,2,,,,,,,,,,,,,,,,,
2.5,,3,,,,,,,,,,,,,,,,,
2.5,,4,,,,,,,,,,,,,,,,,
2.5,,5,,,,,,,,,,,,,,,,,
2.5,,notes,,,,,,,,,,,,,,,,,
2.5,SALPUL,1,,,,,,,,,,,,,,,,,
