ID,Species,GrowthPoint,1_length,2_length,3_length,4_length,5_length,6_length,7_length,8_length,1_width,2_width,3_width,4_width,5_width,6_width,7_width,8_width,Notes
2.5,,2,,,,,,,,,,,,,,,,,
2.5,,3,,,,,,,,,,,,,,,,,
2.5,,4,,,,,,,,,,,,,,,,,
2.5,,5,,,,,,,,,,,,,,,,,
2.5,,notes,,,,,,,,,,,,,,,,,
2.5,LEDPAL,1,,,,,,,,,,,,,,,,,
2.5,,2,,,,,,,,,,,,,,,,,
2.5,,3,,,,,,,,,,,,,,,,,
2.5,,4,,,,,,,,,,,,,,,,,
2.5,,5,,,,,,,,,,,,,,,,,
2.5,,notes,,,,,,,,,,,,,,,,,
2.5,VACVIT,1,,,,,,,,,,,,,,,,,
2.5,,2,,,,,,,,,,,,,,,,,
2.5,,3,,,,,,,,,,,,,,,,,
2.5,,4,,,,,,,,,,,,,,,,,
2.5,,5,,,,,,,,,,,,,,,,,
2.5,,notes,,,,,,,,,,,,,,,,,
2.5,CARBIG,1,,,,,,,,,,,,,,,,,
2.5,,2,,,,,,,,,,,,,,,,,
2.5,,3,,,,,,,,,,,,,,,,,
2.5,,4,,,,,,,,,,,,,,,,,
2.5,,5,,,,,,,,,,,,,,,,,
2.5,,notes,,,,,,,,,,,,,,,,,
2.5,ERIVAG,1,,,,,,,,,,,,,,,,,
2.5,,2,,,,,,,,,,,,,,,,,
2.5,,3,,,,,,,,,,,,,,,,,
2.5,,4,,,,,,,,,,,,,,,,,
2.5,,5,,,,,,,,,,,,,,,,,
2.5,,notes,,,,,,,,,,,,,,,,,
3.1,BETNAN,1,,,,,,,,,,,,,,,,,
3.1,,2,,,,,,,,,,,,,,,,,
3.1,,3,,,,,,,,,,,,,,,,,
3.1,,4,,,,,,,,,,,,,,,,,
3.1,,5,,,,,,,,,,,,,,,,,
3.1,,notes,,,,,,,,,,,,,,,,,
3.1,SALPUL,1,,,,,,,,,,,,,,,,,
3.1,,2,,,,,,,,,,,,,,,,,
3.1,,3,,,,,,,,,,,,,,,,,
3.1,,4,,,,,,,,,,,,,,,,,
3.1,,5,,,,,,,,,,,,,,,,,
3.1,,notes,,,,,,,,,,,,,,,,,
3.1,LEDPAL,1,,,,,,,,,,,,,,,,,
3.1,,2,,,,,,,,,,,,,,,,,
3.1,,3,,,,,,,,,,,,,,,,,
3.1,,4,,,,,,,,,,,,,,,,,
3.1,,5,,,,,,,,,,,,,,,,,
3.1,,notes,,,,,,,,,,,,,,,,,
3.1,VACVIT,1,,,,,,,,,,,,,,,,,
3.1,,2,,,,,,,,,,,,,,,,,
3.1,,3,,,,,,,,,,,,,,,,,
3.1,,4,,,,,,,,,,,,,,,,,
3.1,,5,,,,,,,,,,,,,,,,,
3.1,,notes,,,,,,,,,,,,,,,,,
3.1,CARBIG,1,,,,,,,,,,,,,,,,,
3.1,,2,,,,,,,,,,,,,,,,,
3.1,,3,,,,,,,,,,,,,,,,,
3.1,,4,,,,,,,,,,,,,,,,,
3.1,,5,,,,,,,,,,,,,,,,,
3.1,,notes,,,,,,,,,,,,,,,,,
3.1,ERIVAG,1,,,,,,,,,,,,,,,,,
3.1,,2,,,,,,,,,,,,,,,,,
3.1,,3,,,,,,,,,,,,,,,,,
3.1,,4,,,,,,,,,,,,,,,,,
3.1,,5,,,,,,,,,,,,,,,,,
3.1,,notes,,,,,,,,,,,,,,,,,
3.2,BETNAN,1,,,,,,,,,,,,,,,,,
3.2,,2,,,,,,,,,,,,,,,,,
3.2,,3,,,,,,,,,,,,,,,,,
3.2,,4,,,,,,,,,,,,,,,,,
3.2,,5,,,,,,,,,,,,,,,,,
3.2,,notes,,,,,,,,,,,,,,,,,
3.2,SALPUL,1,,,,,,,,,,,,,,,,,
3.2,,2,,,,,,,,,,,,,,,,,
3.2,,3,,,,,,,,,,,,,,,,,
3.2,,4,,,,,,,,,,,,,,,,,
3.2,,5,,,,,,,,,,,,,,,,,
3.2,,notes,,,,,,,,,,,,,,,,,
3.2,LEDPAL,1,,,,,,,,,,,,,,,,,
3.2,,2,,,,,,,,,,,,,,,,,
3.2,,3,,,,,,,,,,,,,,,,,
3.2,,4,,,,,,,,,,,,,,,,,
3.2,,5,,,,,,,,,,,,,,,,,
3.2,,notes,,,,,,,,,,,,,,,,,
3.2,VACVIT,1,,,,,,,,,,,,,,,,,
3.2,,2,,,,,,,,,,,,,,,,,
3.2,,3,,,,,,,,,,,,,,,,,
3.2,,4,,,,,,,,,,,,,,,,,
3.2,,5,,,,,,,,,,,,,,,,,
3.2,,notes,,,,,,,,,,,,,,,,,
3.2,CARBIG,1,,,,,,,,,,,,,,,,,
3.2,,2,,,,,,,,,,,,,,,,,
3.2,,3,,,,,,,,,,,,,,,,,
3.2,,4,,,,,,,,,,,,,,,,,
3.2,,5,,,,,,,,,,,,,,,,,
3.2,,notes,,,,,,,,,,,,,,,,,
3.2,ERIVAG,1,,,,,,,,,,,,,,,,,
3.2,,2,,,,,,,,,,,,,,,,,
3.2,,3,,,,,,,,,,,,,,,,,
3.2,,4,,,,,,,,,,,,,,,,,
3.2,,5,,,,,,,,,,,,,,,,,
3.2,,notes,,,,,,,,,,,,,,,,,
3.3,BETNAN,1,,,,,,,,,,,,,,,,,
3.3,,2,,,,,,,,,,,,,,,,,
3.3,,3,,,,,,,,,,,,,,,,,
3.3,,4,,,,,,,,,,,,,,,,,
3.3,,5,,,,,,,,,,,,,,,,,
3.3,,notes,,,,,,,,,,,,,,,,,
3.3,SALPUL,1,,,,,,,,,,,,,,,,,
3.3,,2,,,,,,,,,,,,,,,,,
3.3,,3,,,,,,,,,,,,,,,,,
3.3,,4,,,,,,,,,,,,,,,,,
3.3,,5,,,,,,,,,,,,,,,,,
3.3,,notes,,,,,,,,,,,,,,,,,
3.3,LEDPAL,1,,,,,,,,,,,,,,,,,
3.3,,2,,,,,,,,,,,,,,,,,
3.3,,3,,,,,,,,,,,,,,,,,
3.3,,4,,,,,,,,,,,,,,,,,
3.3,,5,,,,,,,,,,,,,,,,,
3.3,,notes,,,,,,,,,,,,,,,,,
3.3,VACVIT,1,,,,,,,,,,,,,,,,,
3.3,,2,,,,,,,,,,,,,,,,,
3.3,,3,,,,,,,,,,,,,,,,,
3.3,,4,,,,,,,,,,,,,,,,,
3.3,,5,,,,,,,,,,,,,,,,,
3.3,,notes,,,,,,,,,,,,,,,,,
3.3,CARBIG,1,,,,,,,,,,,,,,,,,
3.3,,2,,,,,,,,,,,,,,,,,
3.3,,3,,,,,,,,,,,,,,,,,
3.3,,4,,,,,,,,,,,,,,,,,
3.3,,5,,,,,,,,,,,,,,,,,
3.3,,notes,,,,,,,,,,,,,,,,,
3.3,ERIVAG,1,,,,,,,,,,,,,,,,,
3.3,,2,,,,,,,,,,,,,,,,,
3.3,,3,,,,,,,,,,,,,,,,,
3.3,,4,,,,,,,,,,,,,,,,,
3.3,,5,,,,,,,,,,,,,,,,,
3.3,,notes,,,,,,,,,,,,,,,,,
3.4,BETNAN,1,,,,,,,,,,,,,,,,,
3.4,,2,,,,,,,,,,,,,,,,,
3.4,,3,,,,,,,,,,,,,,,,,
3.4,,4,,,,,,,,,,,,,,,,,
3.4,,5,,,,,,,,,,,,,,,,,
3.4,,notes,,,,,,,,,,,,,,,,,
3.4,SALPUL,1,,,,,,,,,,,,,,,,,
3.4,,2,,,,,,,,,,,,,,,,,
3.4,,3,,,,,,,,,,,,,,,,,
3.4,,4,,,,,,,,,,,,,,,,,
3.4,,5,,,,,,,,,,,,,,,,,
3.4,,notes,,,,,,,,,,,,,,,,,
3.4,LEDPAL,1,,,,,,,,,,,,,,,,,
3.4,,2,,,,,,,,,,,,,,,,,
3.4,,3,,,,,,,,,,,,,,,,,
3.4,,4,,,,,,,,,,,,,,,,,
3.4,,5,,,,,,,,,,,,,,,,,
3.4,,notes,,,,,,,,,,,,,,,,,
3.4,VACVIT,1,,,,,,,,,,,,,,,,,
3.4,,2,,,,,,,,,,,,,,,,,
3.4,,3,,,,,,,,,,,,,,,,,
3.4,,4,,,,,,,,,,,,,,,,,
3.4,,5,,,,,,,,,,,,,,,,,
3.4,,notes,,,,,,,,,,,,,,,,,
3.4,CARBIG,1,,,,,,,,,,,,,,,,,
3.4,,2,,,,,,,,,,,,,,,,,
3.4,,3,,,,,,,,,,,,,,,,,
3.4,,4,,,,,,,,,,,,,,,,,
3.4,,5,,,,,,,,,,,,,,,,,
3.4,,notes,,,,,,,,,,,,,,,,,
3.4,ERIVAG,1,,,,,,,,,,,,,,,,,
3.4,,2,,,,,,,,,,,,,,,,,
3.4,,3,,,,,,,,,,,,,,,,,
3.4,,4,,,,,,,,,,,,,,,,,
3.4,,5,,,,,,,,,,,,,,,,,
3.4,,notes,,,,,,,,,,,,,,,,,
3.5,BETNAN,1,,,,,,,,,,,,,,,,,
3.5,,2,,,,,,,,,,,,,,,,,
3.5,,3,,,,,,,,,,,,,,,,,
3.5,,4,,,,,,,,,,,,,,,,,
3.5,,5,,,,,,,,,,,,,,,,,
3.5,,notes,,,,,,,,,,,,,,,,,
3.5,SALPUL,1,,,,,,,,,,,,,,,,,
3.5,,2,,,,,,,,,,,,,,,,,
3.5,,3,,,,,,,,,,,,,,,,,
3.5,,4,,,,,,,,,,,,,,,,,
3.5,,5,,,,,,,,,,,,,,,,,
3.5,,notes,,,,,,,,,,,,,,,,,
3.5,LEDPAL,1,,,,,,,,,,,,,,,,,
3.5,,2,,,,,,,,,,,,,,,,,
3.5,,3,,,,,,,,,,,,,,,,,
3.5,,4,,,,,,,,,,,,,,,,,
3.5,,5,,,,,,,,,,,,,,,,,
3.5,,notes,,,,,,,,,,,,,,,,,
3.5,VACVIT,1,,,,,,,,,,,,,,,,,
3.5,,2,,,,,,,,,,,,,,,,,
3.5,,3,,,,,,,,,,,,,,,,,
3.5,,4,,,,,,,,,,,,,,,,,
3.5,,5,,,,,,,,,,,,,,,,,
3.5,,notes,,,,,,,,,,,,,,,,,
3.5,CARBIG,1,,,,,,,,,,,,,,,,,
3.5,,2,,,,,,,,,,,,,,,,,
3.5,,3,,,,,,,,,,,,,,,,,
3.5,,4,,,,,,,,,,,,,,,,,
3.5,,5,,,,,,,,,,,,,,,,,
3.5,,notes,,,,,,,,,,,,,,,,,
3.5,ERIVAG,1,,,,,,,,,,,,,,,,,
3.5,,2,,,,,,,,,,,,,,,,,
3.5,,3,,,,,,,,,,,,,,,,,
3.5,,4,,,,,,,,,,,,,,,,,
3.5,,5,,,,,,,,,,,,,,,,,
3.5,,notes,,,,,,,,,,,,,,,,,
4.1,BETNAN,1,,,,,,,,,,,,,,,,,
4.1,,2,,,,,,,,,,,,,,,,,
4.1,,3,,,,,,,,,,,,,,,,,
4.1,,4,,,,,,,,,,,,,,,,,
4.1,,5,,,,,,,,,,,,,,,,,
4.1,,notes,,,,,,,,,,,,,,,,,
4.1,SALPUL,1,,,,,,,,,,,,,,,,,
4.1,,2,,,,,,,,,,,,,,,,,
4.1,,3,,,,,,,,,,,,,,,,,
4.1,,4,,,,,,,,,,,,,,,,,
4.1,,5,,,,,,,,,,,,,,,,,
4.1,,notes,,,,,,,,,,,,,,,,,
4.1,LEDPAL,1,,,,,,,,,,,,,,,,,
4.1,,2,,,,,,,,,,,,,,,,,
4.1,,3,,,,,,,,,,,,,,,,,
4.1,,4,,,,,,,,,,,,,,,,,
4.1,,5,,,,,,,,,,,,,,,,,
4.1,,notes,,,,,,,,,,,,,,,,,
4.1,VACVIT,1,,,,,,,,,,,,,,,,,
4.1,,2,,,,,,,,,,,,,,,,,
4.1,,3,,,,,,,,,,,,,,,,,
4.1,,4,,,,,,,,,,,,,,,,,
4.1,,5,,,,,,,,,,,,,,,,,
4.1,,notes,,,,,,,,,,,,,,,,,
4.1,CARBIG,1,,,,,,,,,,,,,,,,,
4.1,,2,,,,,,,,,,,,,,,,,
4.1,,3,,,,,,,,,,,,,,,,,
4.1,,4,,,,,,,,,,,,,,,,,
4.1,,5,,,,,,,,,,,,,,,,,
4.1,,notes,,,,,,,,,,,,,,,,,
4.1,ERIVAG,1,,,,,,,,,,,,,,,,,
4.1,,2,,,,,,,,,,,,,,,,,
4.1,,3,,,,,,,,,,,,,,,,,
4.1,,4,,,,,,,,,,,,,,,,,
4.1,,5,,,,,,,,,,,,,,,,,
4.1,,notes,,,,,,,,,,,,,,,,,
4.2,BETNAN,1,,,,,,,,,,,,,,,,,
4.2,,2,,,,,,,,,,,,,,,,,
4.2,,3,,,,,,,,,,,,,,,,,
4.2,,4,,,,,,,,,,,,,,,,,
4.2,,5,,,,,,,,,,,,,,,,,
4.2,,notes,,,,,,,,,,,,,,,,,
4.2,SALPUL,1,,,,,,,,,,,,,,,,,
4.2,,2,,,,,,,,,,,,,,,,,
4.2,,3,,,,,,,,,,,,,,,,,
4.2,,4,,,,,,,,,,,,,,,,,
4.2,,5,,,,,,,,,,,,,,,,,
4.2,,notes,,,,,,,,,,,,,,,,,
4.2,LEDPAL,1,,,,,,,,,,,,,,,,,
4.2,,2,,,,,,,,,,,,,,,,,
4.2,,3,,,,,,,,,,,,,,,,,
4.2,,4,,,,,,,,,,,,,,,,,
4.2,,5,,,,,,,,,,,,,,,,,
4.2,,notes,,,,,,,,,,,,,,,,,
4.2,VACVIT,1,,,,,,,,,,,,,,,,,
4.2,,2,,,,,,,,,,,,,,,,,
4.2,,3,,,,,,,,,,,,,,,,,
4.2,,4,,,,,,,,,,,,,,,,,
4.2,,5,,,,,,,,,,,,,,,,,
4.2,,notes,,,,,,,,,,,,,,,,,
4.2,CARBIG,1,,,,,,,,,,,,,,,,,
4.2,,2,,,,,,,,,,,,,,,,,
4.2,,3,,,,,,,,,,,,,,,,,
4.2,,4,,,,,,,,,,,,,,,,,
4.2,,5,,,,,,,,,,,,,,,,,
4.2,,notes,,,,,,,,,,,,,,,,,
4.2,ERIVAG,1,,,,,,,,,,,,,,,,,
4.2,,2,,,,,,,,,,,,,,,,,
4.2,,3,,,,,,,,,,,,,,,,,
4.2,,4,,,,,,,,,,,,,,,,,
4.2,,5,,,,,,,,,,,,,,,,,
4.2,,notes,,,,,,,,,,,,,,,,,
4.3,BETNAN,1,,,,,,,,,,,,,,,,,
4.3,,2,,,,,,,,,,,,,,,,,
4.3,,3,,,,,,,,,,,,,,,,,
4.3,,4,,,,,,,,,,,,,,,,,
4.3,,5,,,,,,,,,,,,,,,,,
4.3,,notes,,,,,,,,,,,,,,,,,
4.3,SALPUL,1,,,,,,,,,,,,,,,,,
4.3,,2,,,,,,,,,,,,,,,,,
4.3,,3,,,,,,,,,,,,,,,,,
4.3,,4,,,,,,,,,,,,,,,,,
4.3,,5,,,,,,,,,,,,,,,,,
4.3,,notes,,,,,,,,,,,,,,,,,
4.3,LEDPAL,1,,,,,,,,,,,,,,,,,
4.3,,2,,,,,,,,,,,,,,,,,
4.3,,3,,,,,,,,,,,,,,,,,
4.3,,4,,,,,,,,,,,,,,,,,
4.3,,5,,,,,,,,,,,,,,,,,
4.3,,notes,,,,,,,,,,,,,,,,,
4.3,VACVIT,1,,,,,,,,,,,,,,,,,
4.3,,2,,,,,,,,,,,,,,,,,
4.3,,3,,,,,,,,,,,,,,,,,
4.3,,4,,,,,,,,,,,,,,,,,
4.3,,5,,,,,,,,,,,,,,,,,
4.3,,notes,,,,,,,,,,,,,,,,,
4.3,CARBIG,1,,,,,,,,,,,,,,,,,
4.3,,2,,,,,,,,,,,,,,,,,
4.3,,3,,,,,,,,,,,,,,,,,
4.3,,4,,,,,,,,,,,,,,,,,
4.3,,5,,,,,,,,,,,,,,,,,
4.3,,notes,,,,,,,,,,,,,,,,,
4.3,ERIVAG,1,,,,,,,,,,,,,,,,,
4.3,,2,,,,,,,,,,,,,,,,,
4.3,,3,,,,,,,,,,,,,,,,,
4.3,,4,,,,,,,,,,,,,,,,,
4.3,,5,,,,,,,,,,,,,,,,,
4.3,,notes,,,,,,,,,,,,,,,,,
4.4,BETNAN,1,,,,,,,,,,,,,,,,,
4.4,,2,,,,,,,,,,,,,,,,,
4.4,,3,,,,,,,,,,,,,,,,,
4.4,,4,,,,,,,,,,,,,,,,,
4.4,,5,,,,,,,,,,,,,,,,,
4.4,,notes,,,,,,,,,,,,,,,,,
4.4,SALPUL,1,,,,,,,,,,,,,,,,,
4.4,,2,,,,,,,,,,,,,,,,,
4.4,,3,,,,,,,,,,,,,,,,,
4.4,,4,,,,,,,,,,,,,,,,,
4.4,,5,,,,,,,,,,,,,,,,,
4.4,,notes,,,,,,,,,,,,,,,,,
4.4,LEDPAL,1,,,,,,,,,,,,,,,,,
4.4,,2,,,,,,,,,,,,,,,,,
4.4,,3,,,,,,,,,,,,,,,,,
4.4,,4,,,,,,,,,,,,,,,,,
4.4,,5,,,,,,,,,,,,,,,,,
4.4,,notes,,,,,,,,,,,,,,,,,
4.4,VACVIT,1,,,,,,,,,,,,,,,,,
4.4,,2,,,,,,,,,,,,,,,,,
4.4,,3,,,,,,,,,,,,,,,,,
4.4,,4,,,,,,,,,,,,,,,,,
4.4,,5,,,,,,,,,,,,,,,,,
4.4,,notes,,,,,,,,,,,,,,,,,
4.4,CARBIG,1,,,,,,,,,,,,,,,,,
4.4,,2,,,,,,,,,,,,,,,,,
4.4,,3,,,,,,,,,,,,,,,,,
4.4,,4,,,,,,,,,,,,,,,,,
4.4,,5,,,,,,,,,,,,,,,,,
4.4,,notes,,,,,,,,,,,,,,,,,
4.4,ERIVAG,1,,,,,,,,,,,,,,,,,
4.4,,2,,,,,,,,,,,,,,,,,
4.4,,3,,,,,,,,,,,,,,,,,
4.4,,4,,,,,,,,,,,,,,,,,
4.4,,5,,,,,,,,,,,,,,,,,
4.4,,notes,,,,,,,,,,,,,,,,,
4.5,BETNAN,1,,,,,,,,,,,,,,,,,
4.5,,2,,,,,,,,,,,,,,,,,
4.5,,3,,,,,,,,,,,,,,,,,
4.5,,4,,,,,,,,,,,,,,,,,
4.5,,5,,,,,,,,,,,,,,,,,
4.5,,notes,,,,,,,,,,,,,,,,,
4.5,SALPUL,1,,,,,,,,,,,,,,,,,
4.5,,2,,,,,,,,,,,,,,,,,
4.5,,3,,,,,,,,,,,,,,,,,
4.5,,4,,,,,,,,,,,,,,,,,
4.5,,5,,,,,,,,,,,,,,,,,
4.5,,notes,,,,,,,,,,,,,,,,,
4.5,LEDPAL,1,,,,,,,,,,,,,,,,,
4.5,,2,,,,,,,,,,,,,,,,,
4.5,,3,,,,,,,,,,,,,,,,,
4.5,,4,,,,,,,,,,,,,,,,,
4.5,,5,,,,,,,,,,,,,,,,,
4.5,,notes,,,,,,,,,,,,,,,,,
4.5,VACVIT,1,,,,,,,,,,,,,,,,,
4.5,,2,,,,,,,,,,,,,,,,,
4.5,,3,,,,,,,,,,,,,,,,,
