ID,Species,GrowthPoint,1_length,2_length,3_length,4_length,5_length,6_length,7_length,8_length,1_width,2_width,3_width,4_width,5_width,6_width,7_width,8_width,Notes
4.5,,4,,,,,,,,,,,,,,,,,
4.5,,5,,,,,,,,,,,,,,,,,
4.5,,notes,,,,,,,,,,,,,,,,,
4.5,CARBIG,1,,,,,,,,,,,,,,,,,
4.5,,2,,,,,,,,,,,,,,,,,
4.5,,3,,,,,,,,,,,,,,,,,
4.5,,4,,,,,,,,,,,,,,,,,
4.5,,5,,,,,,,,,,,,,,,,,
4.5,,notes,,,,,,,,,,,,,,,,,
4.5,ERIVAG,1,,,,,,,,,,,,,,,,,
4.5,,2,,,,,,,,,,,,,,,,,
4.5,,3,,,,,,,,,,,,,,,,,
4.5,,4,,,,,,,,,,,,,,,,,
4.5,,5,,,,,,,,,,,,,,,,,
4.5,,notes,,,,,,,,,,,,,,,,,
5.1,BETNAN,1,,,,,,,,,,,,,,,,,
5.1,,2,,,,,,,,,,,,,,,,,
5.1,,3,,,,,,,,,,,,,,,,,
5.1,,4,,,,,,,,,,,,,,,,,
5.1,,5,,,,,,,,,,,,,,,,,
5.1,,notes,,,,,,,,,,,,,,,,,
5.1,SALPUL,1,,,,,,,,,,,,,,,,,
5.1,,2,,,,,,,,,,,,,,,,,
5.1,,3,,,,,,,,,,,,,,,,,
5.1,,4,,,,,,,,,,,,,,,,,
5.1,,5,,,,,,,,,,,,,,,,,
5.1,,notes,,,,,,,,,,,,,,,,,
5.1,LEDPAL,1,,,,,,,,,,,,,,,,,
5.1,,2,,,,,,,,,,,,,,,,,
5.1,,3,,,,,,,,,,,,,,,,,
5.1,,4,,,,,,,,,,,,,,,,,
5.1,,5,,,,,,,,,,,,,,,,,
5.1,,notes,,,,,,,,,,,,,,,,,
5.1,VACVIT,1,,,,,,,,,,,,,,,,,
5.1,,2,,,,,,,,,,,,,,,,,
5.1,,3,,,,,,,,,,,,,,,,,
5.1,,4,,,,,,,,,,,,,,,,,
5.1,,5,,,,,,,,,,,,,,,,,
5.1,,notes,,,,,,,,,,,,,,,,,
5.1,CARBIG,1,,,,,,,,,,,,,,,,,
5.1,,2,,,,,,,,,,,,,,,,,
5.1,,3,,,,,,,,,,,,,,,,,
5.1,,4,,,,,,,,,,,,,,,,,
5.1,,5,,,,,,,,,,,,,,,,,
5.1,,notes,,,,,,,,,,,,,,,,,
5.1,ERIVAG,1,,,,,,,,,,,,,,,,,
5.1,,2,,,,,,,,,,,,,,,,,
5.1,,3,,,,,,,,,,,,,,,,,
5.1,,4,,,,,,,,,,,,,,,,,
5.1,,5,,,,,,,,,,,,,,,,,
5.1,,notes,,,,,,,,,,,,,,,,,
5.2,BETNAN,1,,,,,,,,,,,,,,,,,
5.2,,2,,,,,,,,,,,,,,,,,
5.2,,3,,,,,,,,,,,,,,,,,
5.2,,4,,,,,,,,,,,,,,,,,
5.2,,5,,,,,,,,,,,,,,,,,
5.2,,notes,,,,,,,,,,,,,,,,,
5.2,SALPUL,1,,,,,,,,,,,,,,,,,
5.2,,2,,,,,,,,,,,,,,,,,
5.2,,3,,,,,,,,,,,,,,,,,
5.2,,4,,,,,,,,,,,,,,,,,
5.2,,5,,,,,,,,,,,,,,,,,
5.2,,notes,,,,,,,,,,,,,,,,,
5.2,LEDPAL,1,,,,,,,,,,,,,,,,,
5.2,,2,,,,,,,,,,,,,,,,,
5.2,,3,,,,,,,,,,,,,,,,,
5.2,,4,,,,,,,,,,,,,,,,,
5.2,,5,,,,,,,,,,,,,,,,,
5.2,,notes,,,,,,,,,,,,,,,,,
5.2,VACVIT,1,,,,,,,,,,,,,,,,,
5.2,,2,,,,,,,,,,,,,,,,,
5.2,,3,,,,,,,,,,,,,,,,,
5.2,,4,,,,,,,,,,,,,,,,,
5.2,,5,,,,,,,,,,,,,,,,,
5.2,,notes,,,,,,,,,,,,,,,,,
5.2,CARBIG,1,,,,,,,,,,,,,,,,,
5.2,,2,,,,,,,,,,,,,,,,,
5.2,,3,,,,,,,,,,,,,,,,,
5.2,,4,,,,,,,,,,,,,,,,,
5.2,,5,,,,,,,,,,,,,,,,,
5.2,,notes,,,,,,,,,,,,,,,,,
5.2,ERIVAG,1,,,,,,,,,,,,,,,,,
5.2,,2,,,,,,,,,,,,,,,,,
5.2,,3,,,,,,,,,,,,,,,,,
5.2,,4,,,,,,,,,,,,,,,,,
5.2,,5,,,,,,,,,,,,,,,,,
5.2,,notes,,,,,,,,,,,,,,,,,
5.3,BETNAN,1,,,,,,,,,,,,,,,,,
5.3,,2,,,,,,,,,,,,,,,,,
5.3,,3,,,,,,,,,,,,,,,,,
5.3,,4,,,,,,,,,,,,,,,,,
5.3,,5,,,,,,,,,,,,,,,,,
5.3,,notes,,,,,,,,,,,,,,,,,
5.3,SALPUL,1,,,,,,,,,,,,,,,,,
5.3,,2,,,,,,,,,,,,,,,,,
5.3,,3,,,,,,,,,,,,,,,,,
5.3,,4,,,,,,,,,,,,,,,,,
5.3,,5,,,,,,,,,,,,,,,,,
5.3,,notes,,,,,,,,,,,,,,,,,
5.3,LEDPAL,1,,,,,,,,,,,,,,,,,
5.3,,2,,,,,,,,,,,,,,,,,
5.3,,3,,,,,,,,,,,,,,,,,
5.3,,4,,,,,,,,,,,,,,,,,
5.3,,5,,,,,,,,,,,,,,,,,
5.3,,notes,,,,,,,,,,,,,,,,,
5.3,VACVIT,1,,,,,,,,,,,,,,,,,
5.3,,2,,,,,,,,,,,,,,,,,
5.3,,3,,,,,,,,,,,,,,,,,
5.3,,4,,,,,,,,,,,,,,,,,
5.3,,5,,,,,,,,,,,,,,,,,
5.3,,notes,,,,,,,,,,,,,,,,,
5.3,CARBIG,1,,,,,,,,,,,,,,,,,
5.3,,2,,,,,,,,,,,,,,,,,
5.3,,3,,,,,,,,,,,,,,,,,
5.3,,4,,,,,,,,,,,,,,,,,
5.3,,5,,,,,,,,,,,,,,,,,
5.3,,notes,,,,,,,,,,,,,,,,,
5.3,ERIVAG,1,,,,,,,,,,,,,,,,,
5.3,,2,,,,,,,,,,,,,,,,,
5.3,,3,,,,,,,,,,,,,,,,,
5.3,,4,,,,,,,,,,,,,,,,,
5.3,,5,,,,,,,,,,,,,,,,,
5.3,,notes,,,,,,,,,,,,,,,,,
5.4,BETNAN,1,,,,,,,,,,,,,,,,,
5.4,,2,,,,,,,,,,,,,,,,,
5.4,,3,,,,,,,,,,,,,,,,,
5.4,,4,,,,,,,,,,,,,,,,,
5.4,,5,,,,,,,,,,,,,,,,,
5.4,,notes,,,,,,,,,,,,,,,,,
5.4,SALPUL,1,,,,,,,,,,,,,,,,,
5.4,,2,,,,,,,,,,,,,,,,,
5.4,,3,,,,,,,,,,,,,,,,,
5.4,,4,,,,,,,,,,,,,,,,,
5.4,,5,,,,,,,,,,,,,,,,,
5.4,,notes,,,,,,,,,,,,,,,,,
5.4,LEDPAL,1,,,,,,,,,,,,,,,,,
5.4,,2,,,,,,,,,,,,,,,,,
5.4,,3,,,,,,,,,,,,,,,,,
5.4,,4,,,,,,,,,,,,,,,,,
5.4,,5,,,,,,,,,,,,,,,,,
5.4,,notes,,,,,,,,,,,,,,,,,
5.4,VACVIT,1,,,,,,,,,,,,,,,,,
5.4,,2,,,,,,,,,,,,,,,,,
5.4,,3,,,,,,,,,,,,,,,,,
5.4,,4,,,,,,,,,,,,,,,,,
5.4,,5,,,,,,,,,,,,,,,,,
5.4,,notes,,,,,,,,,,,,,,,,,
5.4,CARBIG,1,,,,,,,,,,,,,,,,,
5.4,,2,,,,,,,,,,,,,,,,,
5.4,,3,,,,,,,,,,,,,,,,,
5.4,,4,,,,,,,,,,,,,,,,,
5.4,,5,,,,,,,,,,,,,,,,,
5.4,,notes,,,,,,,,,,,,,,,,,
5.4,ERIVAG,1,,,,,,,,,,,,,,,,,
5.4,,2,,,,,,,,,,,,,,,,,
5.4,,3,,,,,,,,,,,,,,,,,
5.4,,4,,,,,,,,,,,,,,,,,
5.4,,5,,,,,,,,,,,,,,,,,
5.4,,notes,,,,,,,,,,,,,,,,,
5.5,BETNAN,1,,,,,,,,,,,,,,,,,
5.5,,2,,,,,,,,,,,,,,,,,
5.5,,3,,,,,,,,,,,,,,,,,
5.5,,4,,,,,,,,,,,,,,,,,
5.5,,5,,,,,,,,,,,,,,,,,
5.5,,notes,,,,,,,,,,,,,,,,,
5.5,SALPUL,1,,,,,,,,,,,,,,,,,
5.5,,2,,,,,,,,,,,,,,,,,
5.5,,3,,,,,,,,,,,,,,,,,
5.5,,4,,,,,,,,,,,,,,,,,
5.5,,5,,,,,,,,,,,,,,,,,
5.5,,notes,,,,,,,,,,,,,,,,,
5.5,LEDPAL,1,,,,,,,,,,,,,,,,,
5.5,,2,,,,,,,,,,,,,,,,,
5.5,,3,,,,,,,,,,,,,,,,,
5.5,,4,,,,,,,,,,,,,,,,,
5.5,,5,,,,,,,,,,,,,,,,,
5.5,,notes,,,,,,,,,,,,,,,,,
5.5,VACVIT,1,,,,,,,,,,,,,,,,,
5.5,,2,,,,,,,,,,,,,,,,,
5.5,,3,,,,,,,,,,,,,,,,,
5.5,,4,,,,,,,,,,,,,,,,,
5.5,,5,,,,,,,,,,,,,,,,,
5.5,,notes,,,,,,,,,,,,,,,,,
5.5,CARBIG,1,,,,,,,,,,,,,,,,,
5.5,,2,,,,,,,,,,,,,,,,,
5.5,,3,,,,,,,,,,,,,,,,,
5.5,,4,,,,,,,,,,,,,,,,,
5.5,,5,,,,,,,,,,,,,,,,,
5.5,,notes,,,,,,,,,,,,,,,,,
5.5,ERIVAG,1,,,,,,,,,,,,,,,,,
5.5,,2,,,,,,,,,,,,,,,,,
5.5,,3,,,,,,,,,,,,,,,,,
5.5,,4,,,,,,,,,,,,,,,,,
5.5,,5,,,,,,,,,,,,,,,,,
5.5,,notes,,,,,,,,,,,,,,,,,
6.1,BETNAN,1,,,,,,,,,,,,,,,,,
6.1,,2,,,,,,,,,,,,,,,,,
6.1,,3,,,,,,,,,,,,,,,,,
6.1,,4,,,,,,,,,,,,,,,,,
6.1,,5,,,,,,,,,,,,,,,,,
6.1,,notes,,,,,,,,,,,,,,,,,
6.1,SALPUL,1,,,,,,,,,,,,,,,,,
6.1,,2,,,,,,,,,,,,,,,,,
6.1,,3,,,,,,,,,,,,,,,,,
6.1,,4,,,,,,,,,,,,,,,,,
6.1,,5,,,,,,,,,,,,,,,,,
6.1,,notes,,,,,,,,,,,,,,,,,
6.1,LEDPAL,1,,,,,,,,,,,,,,,,,
6.1,,2,,,,,,,,,,,,,,,,,
6.1,,3,,,,,,,,,,,,,,,,,
6.1,,4,,,,,,,,,,,,,,,,,
6.1,,5,,,,,,,,,,,,,,,,,
6.1,,notes,,,,,,,,,,,,,,,,,
6.1,VACVIT,1,,,,,,,,,,,,,,,,,
6.1,,2,,,,,,,,,,,,,,,,,
6.1,,3,,,,,,,,,,,,,,,,,
6.1,,4,,,,,,,,,,,,,,,,,
6.1,,5,,,,,,,,,,,,,,,,,
6.1,,notes,,,,,,,,,,,,,,,,,
6.1,CARBIG,1,,,,,,,,,,,,,,,,,
6.1,,2,,,,,,,,,,,,,,,,,
6.1,,3,,,,,,,,,,,,,,,,,
6.1,,4,,,,,,,,,,,,,,,,,
6.1,,5,,,,,,,,,,,,,,,,,
6.1,,notes,,,,,,,,,,,,,,,,,
6.1,ERIVAG,1,,,,,,,,,,,,,,,,,
6.1,,2,,,,,,,,,,,,,,,,,
6.1,,3,,,,,,,,,,,,,,,,,
6.1,,4,,,,,,,,,,,,,,,,,
6.1,,5,,,,,,,,,,,,,,,,,
6.1,,notes,,,,,,,,,,,,,,,,,
6.2,BETNAN,1,,,,,,,,,,,,,,,,,
6.2,,2,,,,,,,,,,,,,,,,,
6.2,,3,,,,,,,,,,,,,,,,,
6.2,,4,,,,,,,,,,,,,,,,,
6.2,,5,,,,,,,,,,,,,,,,,
6.2,,notes,,,,,,,,,,,,,,,,,
6.2,SALPUL,1,,,,,,,,,,,,,,,,,
6.2,,2,,,,,,,,,,,,,,,,,
6.2,,3,,,,,,,,,,,,,,,,,
6.2,,4,,,,,,,,,,,,,,,,,
6.2,,5,,,,,,,,,,,,,,,,,
6.2,,notes,,,,,,,,,,,,,,,,,
6.2,LEDPAL,1,,,,,,,,,,,,,,,,,
6.2,,2,,,,,,,,,,,,,,,,,
6.2,,3,,,,,,,,,,,,,,,,,
6.2,,4,,,,,,,,,,,,,,,,,
6.2,,5,,,,,,,,,,,,,,,,,
6.2,,notes,,,,,,,,,,,,,,,,,
6.2,VACVIT,1,,,,,,,,,,,,,,,,,
6.2,,2,,,,,,,,,,,,,,,,,
6.2,,3,,,,,,,,,,,,,,,,,
6.2,,4,,,,,,,,,,,,,,,,,
6.2,,5,,,,,,,,,,,,,,,,,
6.2,,notes,,,,,,,,,,,,,,,,,
6.2,CARBIG,1,,,,,,,,,,,,,,,,,
6.2,,2,,,,,,,,,,,,,,,,,
6.2,,3,,,,,,,,,,,,,,,,,
6.2,,4,,,,,,,,,,,,,,,,,
6.2,,5,,,,,,,,,,,,,,,,,
6.2,,notes,,,,,,,,,,,,,,,,,
6.2,ERIVAG,1,,,,,,,,,,,,,,,,,
6.2,,2,,,,,,,,,,,,,,,,,
6.2,,3,,,,,,,,,,,,,,,,,
6.2,,4,,,,,,,,,,,,,,,,,
6.2,,5,,,,,,,,,,,,,,,,,
6.2,,notes,,,,,,,,,,,,,,,,,
6.3,BETNAN,1,,,,,,,,,,,,,,,,,
6.3,,2,,,,,,,,,,,,,,,,,
6.3,,3,,,,,,,,,,,,,,,,,
6.3,,4,,,,,,,,,,,,,,,,,
6.3,,5,,,,,,,,,,,,,,,,,
6.3,,notes,,,,,,,,,,,,,,,,,
6.3,SALPUL,1,,,,,,,,,,,,,,,,,
6.3,,2,,,,,,,,,,,,,,,,,
6.3,,3,,,,,,,,,,,,,,,,,
6.3,,4,,,,,,,,,,,,,,,,,
6.3,,5,,,,,,,,,,,,,,,,,
6.3,,notes,,,,,,,,,,,,,,,,,
6.3,LEDPAL,1,,,,,,,,,,,,,,,,,
6.3,,2,,,,,,,,,,,,,,,,,
6.3,,3,,,,,,,,,,,,,,,,,
6.3,,4,,,,,,,,,,,,,,,,,
6.3,,5,,,,,,,,,,,,,,,,,
6.3,,notes,,,,,,,,,,,,,,,,,
6.3,VACVIT,1,,,,,,,,,,,,,,,,,
6.3,,2,,,,,,,,,,,,,,,,,
6.3,,3,,,,,,,,,,,,,,,,,
6.3,,4,,,,,,,,,,,,,,,,,
6.3,,5,,,,,,,,,,,,,,,,,
6.3,,notes,,,,,,,,,,,,,,,,,
6.3,CARBIG,1,,,,,,,,,,,,,,,,,
6.3,,2,,,,,,,,,,,,,,,,,
6.3,,3,,,,,,,,,,,,,,,,,
6.3,,4,,,,,,,,,,,,,,,,,
6.3,,5,,,,,,,,,,,,,,,,,
6.3,,notes,,,,,,,,,,,,,,,,,
6.3,ERIVAG,1,,,,,,,,,,,,,,,,,
6.3,,2,,,,,,,,,,,,,,,,,
6.3,,3,,,,,,,,,,,,,,,,,
6.3,,4,,,,,,,,,,,,,,,,,
6.3,,5,,,,,,,,,,,,,,,,,
6.3,,notes,,,,,,,,,,,,,,,,,
6.4,BETNAN,1,,,,,,,,,,,,,,,,,
6.4,,2,,,,,,,,,,,,,,,,,
6.4,,3,,,,,,,,,,,,,,,,,
6.4,,4,,,,,,,,,,,,,,,,,
6.4,,5,,,,,,,,,,,,,,,,,
6.4,,notes,,,,,,,,,,,,,,,,,
6.4,SALPUL,1,,,,,,,,,,,,,,,,,
6.4,,2,,,,,,,,,,,,,,,,,
6.4,,3,,,,,,,,,,,,,,,,,
6.4,,4,,,,,,,,,,,,,,,,,
6.4,,5,,,,,,,,,,,,,,,,,
6.4,,notes,,,,,,,,,,,,,,,,,
6.4,LEDPAL,1,,,,,,,,,,,,,,,,,
6.4,,2,,,,,,,,,,,,,,,,,
6.4,,3,,,,,,,,,,,,,,,,,
6.4,,4,,,,,,,,,,,,,,,,,
6.4,,5,,,,,,,,,,,,,,,,,
6.4,,notes,,,,,,,,,,,,,,,,,
6.4,VACVIT,1,,,,,,,,,,,,,,,,,
6.4,,2,,,,,,,,,,,,,,,,,
6.4,,3,,,,,,,,,,,,,,,,,
6.4,,4,,,,,,,,,,,,,,,,,
6.4,,5,,,,,,,,,,,,,,,,,
6.4,,notes,,,,,,,,,,,,,,,,,
6.4,CARBIG,1,,,,,,,,,,,,,,,,,
6.4,,2,,,,,,,,,,,,,,,,,
6.4,,3,,,,,,,,,,,,,,,,,
6.4,,4,,,,,,,,,,,,,,,,,
6.4,,5,,,,,,,,,,,,,,,,,
6.4,,notes,,,,,,,,,,,,,,,,,
6.4,ERIVAG,1,,,,,,,,,,,,,,,,,
6.4,,2,,,,,,,,,,,,,,,,,
6.4,,3,,,,,,,,,,,,,,,,,
6.4,,4,,,,,,,,,,,,,,,,,
6.4,,5,,,,,,,,,,,,,,,,,
6.4,,notes,,,,,,,,,,,,,,,,,
6.5,BETNAN,1,,,,,,,,,,,,,,,,,
6.5,,2,,,,,,,,,,,,,,,,,
6.5,,3,,,,,,,,,,,,,,,,,
6.5,,4,,,,,,,,,,,,,,,,,
6.5,,5,,,,,,,,,,,,,,,,,
6.5,,notes,,,,,,,,,,,,,,,,,
6.5,SALPUL,1,,,,,,,,,,,,,,,,,
6.5,,2,,,,,,,,,,,,,,,,,
6.5,,3,,,,,,,,,,,,,,,,,
6.5,,4,,,,,,,,,,,,,,,,,
6.5,,5,,,,,,,,,,,,,,,,,
6.5,,notes,,,,,,,,,,,,,,,,,
6.5,LEDPAL,1,,,,,,,,,,,,,,,,,
6.5,,2,,,,,,,,,,,,,,,,,
6.5,,3,,,,,,,,,,,,,,,,,
6.5,,4,,,,,,,,,,,,,,,,,
6.5,,5,,,,,,,,,,,,,,,,,
6.5,,notes,,,,,,,,,,,,,,,,,
6.5,VACVIT,1,,,,,,,,,,,,,,,,,
6.5,,2,,,,,,,,,,,,,,,,,
6.5,,3,,,,,,,,,,,,,,,,,
6.5,,4,,,,,,,,,,,,,,,,,
6.5,,5,,,,,,,,,,,,,,,,,
6.5,,notes,,,,,,,,,,,,,,,,,
6.5,CARBIG,1,,,,,,,,,,,,,,,,,
6.5,,2,,,,,,,,,,,,,,,,,
6.5,,3,,,,,,,,,,,,,,,,,
6.5,,4,,,,,,,,,,,,,,,,,
6.5,,5,,,,,,,,,,,,,,,,,
6.5,,notes,,,,,,,,,,,,,,,,,
6.5,ERIVAG,1,,,,,,,,,,,,,,,,,
6.5,,2,,,,,,,,,,,,,,,,,
6.5,,3,,,,,,,,,,,,,,,,,
6.5,,4,,,,,,,,,,,,,,,,,
6.5,,5,,,,,,,,,,,,,,,,,
6.5,,notes,,,,,,,,,,,,,,,,,